timeStamp,nOrder
2017-12-01 00:00:00,39
2017-12-01 01:00:00,64
2017-12-01 02:00:00,58
2017-12-01 03:00:00,59
2017-12-01 04:00:00,55
2017-12-01 05:00:00,15
2017-12-01 06:00:00,3
2017-12-01 07:00:00,106
2017-12-01 08:00:00,334
2017-12-01 09:00:00,778
2017-12-01 10:00:00,1951
2017-12-01 11:00:00,2976
2017-12-01 12:00:00,4436
2017-12-01 13:00:00,7205
2017-12-01 14:00:00,7715
2017-12-01 15:00:00,7695
2017-12-01 16:00:00,7462
2017-12-01 17:00:00,8500
2017-12-01 18:00:00,8259
2017-12-01 19:00:00,10519
2017-12-01 20:00:00,10981
2017-12-01 21:00:00,8256
2017-12-01 22:00:00,5689
2017-12-01 23:00:00,3081
2017-12-02 00:00:00,1373
2017-12-02 01:00:00,472
2017-12-02 02:00:00,65
2017-12-02 03:00:00,75
2017-12-02 04:00:00,47
2017-12-02 05:00:00,10
2017-12-02 06:00:00,10
2017-12-02 07:00:00,182
2017-12-02 08:00:00,252
2017-12-02 09:00:00,797
2017-12-02 10:00:00,2316
2017-12-02 11:00:00,4343
2017-12-02 12:00:00,6410
2017-12-02 13:00:00,6841
2017-12-02 14:00:00,6733
2017-12-02 15:00:00,6584
2017-12-02 16:00:00,6299
2017-12-02 17:00:00,7272
2017-12-02 18:00:00,8252
2017-12-02 19:00:00,11520
2017-12-02 20:00:00,11906
2017-12-02 21:00:00,9700
2017-12-02 22:00:00,7098
2017-12-02 23:00:00,4210
2017-12-03 00:00:00,1928
2017-12-03 01:00:00,730
2017-12-03 02:00:00,193
2017-12-03 03:00:00,48
2017-12-03 04:00:00,0
2017-12-03 05:00:00,16
2017-12-03 06:00:00,3
2017-12-03 07:00:00,101
2017-12-03 08:00:00,341
2017-12-03 09:00:00,910
2017-12-03 10:00:00,2604
2017-12-03 11:00:00,4458
2017-12-03 12:00:00,6160
2017-12-03 13:00:00,7212
2017-12-03 14:00:00,7160
2017-12-03 15:00:00,6572
2017-12-03 16:00:00,7115
2017-12-03 17:00:00,7900
2017-12-03 18:00:00,7854
2017-12-03 19:00:00,10011
2017-12-03 20:00:00,9253
2017-12-03 21:00:00,6225
2017-12-03 22:00:00,3722
2017-12-03 23:00:00,1758
2017-12-04 00:00:00,585
2017-12-04 01:00:00,187
2017-12-04 02:00:00,35
2017-12-04 03:00:00,30
2017-12-04 04:00:00,1
2017-12-04 05:00:00,4
2017-12-04 06:00:00,12
2017-12-04 07:00:00,147
2017-12-04 08:00:00,243
2017-12-04 09:00:00,599
2017-12-04 10:00:00,1877
2017-12-04 11:00:00,3277
2017-12-04 12:00:00,5227
2017-12-04 13:00:00,4553
2017-12-04 14:00:00,3947
2017-12-04 15:00:00,3727
2017-12-04 16:00:00,3702
2017-12-04 17:00:00,5115
2017-12-04 18:00:00,5844
2017-12-04 19:00:00,7314
2017-12-04 20:00:00,6549
2017-12-04 21:00:00,5427
2017-12-04 22:00:00,3248
2017-12-04 23:00:00,1454
2017-12-05 00:00:00,625
2017-12-05 01:00:00,197
2017-12-05 02:00:00,56
2017-12-05 03:00:00,11
2017-12-05 04:00:00,1
2017-12-05 05:00:00,9
2017-12-05 06:00:00,5
2017-12-05 07:00:00,168
2017-12-05 08:00:00,196
2017-12-05 09:00:00,579
2017-12-05 10:00:00,2039
2017-12-05 11:00:00,3538
2017-12-05 12:00:00,5416
2017-12-05 13:00:00,4480
2017-12-05 14:00:00,4234
2017-12-05 15:00:00,4274
2017-12-05 16:00:00,4654
2017-12-05 17:00:00,5077
2017-12-05 18:00:00,6144
2017-12-05 19:00:00,7788
2017-12-05 20:00:00,7313
2017-12-05 21:00:00,5553
2017-12-05 22:00:00,3705
2017-12-05 23:00:00,1667
2017-12-06 00:00:00,699
2017-12-06 01:00:00,256
2017-12-06 02:00:00,40
2017-12-06 03:00:00,22
2017-12-06 04:00:00,9
2017-12-06 05:00:00,8
2017-12-06 06:00:00,30
2017-12-06 07:00:00,193
2017-12-06 08:00:00,255
2017-12-06 09:00:00,610
2017-12-06 10:00:00,1889
2017-12-06 11:00:00,3588
2017-12-06 12:00:00,5829
2017-12-06 13:00:00,4609
2017-12-06 14:00:00,4342
2017-12-06 15:00:00,4164
2017-12-06 16:00:00,4210
2017-12-06 17:00:00,5526
2017-12-06 18:00:00,6159
2017-12-06 19:00:00,7970
2017-12-06 20:00:00,7392
2017-12-06 21:00:00,6019
2017-12-06 22:00:00,3709
2017-12-06 23:00:00,1965
2017-12-07 00:00:00,765
2017-12-07 01:00:00,271
2017-12-07 02:00:00,58
2017-12-07 03:00:00,14
2017-12-07 04:00:00,15
2017-12-07 05:00:00,10
2017-12-07 06:00:00,16
2017-12-07 07:00:00,240
2017-12-07 08:00:00,334
2017-12-07 09:00:00,686
2017-12-07 10:00:00,1840
2017-12-07 11:00:00,3546
2017-12-07 12:00:00,6040
2017-12-07 13:00:00,4881
2017-12-07 14:00:00,4056
2017-12-07 15:00:00,3875
2017-12-07 16:00:00,4177
2017-12-07 17:00:00,5317
2017-12-07 18:00:00,5879
2017-12-07 19:00:00,7501
2017-12-07 20:00:00,7090
2017-12-07 21:00:00,5611
2017-12-07 22:00:00,3638
2017-12-07 23:00:00,1809
2017-12-08 00:00:00,674
2017-12-08 01:00:00,274
2017-12-08 02:00:00,54
2017-12-08 03:00:00,24
2017-12-08 04:00:00,31
2017-12-08 05:00:00,7
2017-12-08 06:00:00,32
2017-12-08 07:00:00,149
2017-12-08 08:00:00,342
2017-12-08 09:00:00,678
2017-12-08 10:00:00,1930
2017-12-08 11:00:00,3523
2017-12-08 12:00:00,5114
2017-12-08 13:00:00,5080
2017-12-08 14:00:00,4435
2017-12-08 15:00:00,4278
2017-12-08 16:00:00,4392
2017-12-08 17:00:00,5399
2017-12-08 18:00:00,5863
2017-12-08 19:00:00,7873
2017-12-08 20:00:00,8093
2017-12-08 21:00:00,6952
2017-12-08 22:00:00,4495
2017-12-08 23:00:00,2486
2017-12-09 00:00:00,1247
2017-12-09 01:00:00,425
2017-12-09 02:00:00,110
2017-12-09 03:00:00,30
2017-12-09 04:00:00,5
2017-12-09 05:00:00,4
2017-12-09 06:00:00,13
2017-12-09 07:00:00,164
2017-12-09 08:00:00,355
2017-12-09 09:00:00,943
2017-12-09 10:00:00,2644
2017-12-09 11:00:00,4454
2017-12-09 12:00:00,5981
2017-12-09 13:00:00,6492
2017-12-09 14:00:00,6306
2017-12-09 15:00:00,6153
2017-12-09 16:00:00,6248
2017-12-09 17:00:00,6695
2017-12-09 18:00:00,7510
2017-12-09 19:00:00,10425
2017-12-09 20:00:00,11073
2017-12-09 21:00:00,9251
2017-12-09 22:00:00,6649
2017-12-09 23:00:00,4080
2017-12-10 00:00:00,2224
2017-12-10 01:00:00,691
2017-12-10 02:00:00,212
2017-12-10 03:00:00,34
2017-12-10 04:00:00,20
2017-12-10 05:00:00,21
2017-12-10 06:00:00,14
2017-12-10 07:00:00,121
2017-12-10 08:00:00,413
